rank,naics_code,entity_name,cbp_mapping_type,cbp_source_naics_2017_codes,cbp_establishments_2022,cbp_employment_2022,cbp_annual_payroll_usd_2022,cbp_average_annual_pay_usd_2022,bls_establishments_2024,bls_employment_2024,bls_average_annual_pay_usd_2024,bls_employment_growth_pct_2024,bls_pay_growth_pct_2024,sba_size_standard_basis,sba_size_standard_value,sba_size_standard_display,employees_per_establishment,payroll_per_establishment_usd,employment_gap_ratio_bls_to_cbp,fragmentation,operating_complexity,willingness_to_pay,growth,market_scale,workflow_intensity,thesis_fit,software_wedge,rollup_wedge,confidence,workflow_matrix_industry_code,workflow_mapping_type,workflow_coverage_share_pct,workflow_frontline_operator_share_pct,workflow_knowledge_work_share_pct,workflow_documentation,workflow_coordination,workflow_compliance,workflow_care_service,workflow_top_occupations,recommended_move,summary,caveats
98,485410,School and Employee Bus Transportation,direct,485410,4000,210606,6177329000,29331.21,4250,195450,37562,6.5,2.7,receipts_millions_usd,30.0,$30.00M,52.65,1544332.25,0.928,49.1,79.9,53.9,74.2,81.1,83.7,80.0,69.0,66.1,90.0,485400,exact_title,82.7,97.5,0.8,59.4,63.8,72.9,73.2,"Bus drivers, school (65.6%)|Shuttle drivers and chauffeurs (5.4%)|Bus and truck mechanics and diesel engine specialists (3.0%)",sell,"The structure supports go-to-market attention now, but the software wedge still looks less decisive than the very top build candidates.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | Workflow score is based on the visible BLS occupation mix and may miss some small or suppressed occupations."
99,492210,Local Messengers and Local Delivery,direct,492210,5366,149851,7003744000,46738.05,8675,179867,62452,1.5,3.7,receipts_millions_usd,34.0,$34.00M,27.93,1305207.6,1.2,60.3,60.8,55.3,58.1,80.3,82.9,84.0,66.7,68.9,90.0,492200,exact_title,95.4,95.7,1.2,64.6,64.5,71.8,61.2,Light truck drivers (62.8%)|Couriers and messengers (4.4%)|Heavy and tractor-trailer truck drivers (4.3%),sell,"The structure supports go-to-market attention now, but the software wedge still looks less decisive than the very top build candidates.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence."
100,532412,"Construction, Mining and Forestry Machinery and Equipment Rental and Leasing",direct,532412,5079,66623,5798832000,87039.49,7560,98198,96762,4.8,2.2,receipts_millions_usd,40.0,$40.00M,13.12,1141727.11,1.474,70.2,30.4,59.2,68.2,70.4,77.2,73.0,62.0,68.8,85.0,5320A1,broad_parent,88.4,82.7,7.8,66.8,67.6,69.1,57.3,"Laborers and freight, stock, and material movers, hand (8.7%)|Counter and rental clerks (7.6%)|General and operations managers (6.1%)",sell,"The structure supports go-to-market attention now, but the software wedge still looks less decisive than the very top build candidates.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | CBP 2022 employment and BLS 2024 private-sector employment differ materially; treat labor scale as directional. | Workflow layer uses a broader published BLS parent industry; treat occupation mix as directional rather than exact for this NAICS line."
101,488119,Other Airport Operations,direct,488119,2189,115782,4618340000,39888.24,2140,124901,42794,6.3,2.7,receipts_millions_usd,40.0,$40.00M,52.89,2109794.43,1.079,43.5,79.2,67.6,73.9,74.2,81.2,80.0,68.7,65.9,90.0,488100,numeric_parent,83.9,89.7,5.0,68.3,68.2,74.0,59.8,"Aircraft mechanics and service technicians (16.3%)|Laborers and freight, stock, and material movers, hand (8.3%)|Passenger attendants (5.6%)",sell,"The structure supports go-to-market attention now, but the software wedge still looks less decisive than the very top build candidates.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | Workflow layer uses the closest published BLS parent industry because the matrix does not expose this NAICS line separately. | Workflow score is based on the visible BLS occupation mix and may miss some small or suppressed occupations."
102,721120,Casino Hotels,direct,721120,500,348043,16312078000,46868.0,411,251147,51633,5.5,3.9,receipts_millions_usd,40.0,$40.00M,696.09,32624156.0,0.722,17.8,95.3,86.3,78.5,90.6,79.6,76.0,68.7,61.3,90.0,721120,exact_code,94.7,95.1,2.1,54.5,62.9,61.0,60.0,Gambling dealers (13.8%)|Waiters and waitresses (8.2%)|Maids and housekeeping cleaners (7.6%),sell,"The structure supports go-to-market attention now, but the software wedge still looks less decisive than the very top build candidates.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence."
103,541512,Computer Systems Design Services,direct,541512,58312,815846,98204354000,120371.19,178032,1138336,147775,-0.2,7.6,receipts_millions_usd,34.0,$34.00M,13.99,1684119.12,1.395,82.6,26.1,58.7,58.3,97.6,40.4,34.0,53.6,68.2,85.0,541500,numeric_parent,81.0,11.7,71.9,72.8,70.8,70.2,49.4,Software developers (20.9%)|Computer user support specialists (6.3%)|Computer and information systems managers (5.3%),sell,"The structure supports go-to-market attention now, but the software wedge still looks less decisive than the very top build candidates.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | CBP 2022 employment and BLS 2024 private-sector employment differ materially; treat labor scale as directional. | Workflow layer uses the closest published BLS parent industry because the matrix does not expose this NAICS line separately. | Workflow score is based on the visible BLS occupation mix and may miss some small or suppressed occupations."
104,236116,New Multifamily Housing Construction (except For-Sale Builders),direct,236116,3931,50573,5221010000,103237.1,5200,46165,106023,0.8,3.8,receipts_millions_usd,45.0,$45.00M,12.87,1328163.32,0.913,67.7,27.8,65.5,53.5,66.2,78.3,76.0,60.6,68.0,90.0,236100,numeric_parent,88.5,80.8,5.8,67.0,74.3,73.9,56.5,Carpenters (22.9%)|Construction laborers (14.8%)|First-line supervisors of construction trades and extraction workers (8.5%),sell,"The structure supports go-to-market attention now, but the software wedge still looks less decisive than the very top build candidates.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | Workflow layer uses the closest published BLS parent industry because the matrix does not expose this NAICS line separately."
105,813410,Civic and Social Organizations,direct,813410,24832,203796,6215150000,30496.92,28349,360751,30371,4.2,4.0,receipts_millions_usd,9.5,$9.50M,8.21,250287.93,1.77,88.1,41.6,10.0,74.9,81.1,73.4,90.0,64.2,67.7,85.0,813400,exact_title,90.2,75.8,16.2,64.2,69.2,66.3,67.9,Bartenders (11.2%)|Exercise trainers and group fitness instructors (8.4%)|Childcare workers (6.8%),sell,"The structure supports go-to-market attention now, but the software wedge still looks less decisive than the very top build candidates.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | CBP 2022 employment and BLS 2024 private-sector employment differ materially; treat labor scale as directional."
106,541940,Veterinary Services,direct,541940,34000,468624,22726283000,48495.77,35677,467667,57538,1.5,5.5,receipts_millions_usd,10.0,$10.00M,13.78,668420.09,0.998,81.5,47.8,18.5,67.9,93.2,86.5,74.0,65.0,67.6,90.0,541940,exact_code,98.6,97.2,0.6,74.2,69.0,71.8,77.2,Veterinary technologists and technicians (25.7%)|Veterinary assistants and laboratory animal caretakers (21.8%)|Veterinarians (15.5%),sell,"The structure supports go-to-market attention now, but the software wedge still looks less decisive than the very top build candidates.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence."
107,236210,Industrial Building Construction,direct,236210,3173,75129,6470507000,86125.29,6962,162415,99451,5.3,3.5,receipts_millions_usd,45.0,$45.00M,23.68,2039239.52,2.162,56.6,43.8,71.2,75.2,73.0,74.3,76.0,63.8,67.6,85.0,236200,numeric_parent,88.6,71.7,11.5,67.0,75.4,75.3,56.1,Construction laborers (13.2%)|Carpenters (13.0%)|First-line supervisors of construction trades and extraction workers (12.2%),sell,"The structure supports go-to-market attention now, but the software wedge still looks less decisive than the very top build candidates.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | CBP 2022 employment and BLS 2024 private-sector employment differ materially; treat labor scale as directional. | Workflow layer uses the closest published BLS parent industry because the matrix does not expose this NAICS line separately."
108,532210,Consumer Electronics and Appliances Rental,direct,532210,4906,23096,1096152000,47460.69,1461,9156,62588,0.5,4.4,receipts_millions_usd,47.0,$47.00M,4.71,223430.9,0.396,81.4,26.0,53.5,54.8,33.8,78.8,69.0,60.0,67.6,85.0,532000,broad_parent,89.1,86.2,5.4,67.6,66.6,68.0,58.3,"Counter and rental clerks (15.8%)|Laborers and freight, stock, and material movers, hand (6.1%)|General and operations managers (5.1%)",sell,"The structure supports go-to-market attention now, but the software wedge still looks less decisive than the very top build candidates.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | CBP 2022 employment and BLS 2024 private-sector employment differ materially; treat labor scale as directional. | Workflow layer uses a broader published BLS parent industry; treat occupation mix as directional rather than exact for this NAICS line."
109,621999,All Other Miscellaneous Ambulatory Health Care Services,direct,621999,9029,105606,7174388000,67935.42,13050,99567,82366,4.7,1.8,receipts_millions_usd,20.5,$20.50M,11.7,794593.86,0.943,77.7,31.4,37.4,66.7,77.7,75.9,80.0,61.7,67.4,90.0,621990,numeric_parent,76.1,71.5,16.3,78.5,75.6,74.0,74.9,Phlebotomists (12.9%)|Registered nurses (7.9%)|Customer service representatives (4.8%),sell,"The structure supports go-to-market attention now, but the software wedge still looks less decisive than the very top build candidates.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | Workflow layer uses the closest published BLS parent industry because the matrix does not expose this NAICS line separately. | Workflow score is based on the visible BLS occupation mix and may miss some small or suppressed occupations."
110,624410,Child Care Services,direct,624410,80120,966107,27549706000,28516.21,78926,983412,32595,3.0,2.7,receipts_millions_usd,9.5,$9.50M,12.06,343855.54,1.018,86.2,48.8,11.5,62.0,95.5,56.4,82.0,60.9,67.4,90.0,624400,numeric_parent,82.9,45.0,45.7,59.7,67.1,64.4,81.2,"Preschool teachers, except special education (32.2%)|Childcare workers (28.2%)|Education and childcare administrators, preschool and daycare (6.0%)",sell,"The structure supports go-to-market attention now, but the software wedge still looks less decisive than the very top build candidates.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | Workflow layer uses the closest published BLS parent industry because the matrix does not expose this NAICS line separately. | Workflow score is based on the visible BLS occupation mix and may miss some small or suppressed occupations."
111,524210,Insurance Agencies and Brokerages,direct,524210,135100,807633,68034987000,84239.98,160547,995254,104375,2.5,5.5,receipts_millions_usd,15.0,$15.00M,5.98,503589.84,1.232,94.8,13.5,21.3,74.1,97.1,70.5,40.0,55.8,67.4,90.0,524210,exact_code,95.3,71.5,19.2,72.4,66.7,64.7,48.2,Insurance sales agents (35.4%)|Customer service representatives (12.6%)|Insurance claims and policy processing clerks (6.7%),sell,"The structure supports go-to-market attention now, but the software wedge still looks less decisive than the very top build candidates.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence."
112,812199,Other Personal Care Services,direct,812199,29936,169601,5012604000,29555.27,31986,181112,34253,5.2,1.8,receipts_millions_usd,9.0,$9.00M,5.67,167444.01,1.068,92.4,35.3,4.5,67.9,78.0,82.0,90.0,63.7,67.3,90.0,812100,numeric_parent,95.0,97.2,0.3,58.1,62.6,60.3,73.3,"Hairdressers, hairstylists, and cosmetologists (34.8%)|Manicurists and pedicurists (19.4%)|Receptionists and information clerks (9.7%)",sell,"The structure supports go-to-market attention now, but the software wedge still looks less decisive than the very top build candidates.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | Workflow layer uses the closest published BLS parent industry because the matrix does not expose this NAICS line separately."
113,561311,Employment Placement Agencies,direct,561311,7030,271104,13419408000,49499.11,27264,248278,64018,-6.6,1.4,receipts_millions_usd,34.0,$34.00M,38.56,1908877.38,0.916,59.5,64.9,60.2,8.2,88.3,73.4,86.0,62.1,67.3,90.0,561300,numeric_parent,76.0,77.2,18.4,65.3,68.2,69.4,62.9,"Laborers and freight, stock, and material movers, hand (13.5%)|Human resources specialists (4.0%)|Registered nurses (3.6%)",sell,"The structure supports go-to-market attention now, but the software wedge still looks less decisive than the very top build candidates.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | Workflow layer uses the closest published BLS parent industry because the matrix does not expose this NAICS line separately. | Workflow score is based on the visible BLS occupation mix and may miss some small or suppressed occupations."
114,812990,All Other Personal Services,direct,812990,22597,77308,3163060000,40915.04,30080,96074,53407,4.4,1.8,receipts_millions_usd,15.0,$15.00M,3.42,139976.99,1.243,94.8,26.8,13.6,65.5,65.3,80.2,82.0,61.9,67.3,90.0,812900,numeric_parent,87.7,90.4,4.0,65.1,65.9,65.1,63.6,Animal caretakers (33.8%)|Parking attendants (16.7%)|General and operations managers (4.2%),sell,"The structure supports go-to-market attention now, but the software wedge still looks less decisive than the very top build candidates.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | Workflow layer uses the closest published BLS parent industry because the matrix does not expose this NAICS line separately."
115,541613,Marketing Consulting Services,direct,541613,50025,281865,23160948000,82170.36,93903,319916,106303,-0.9,4.4,receipts_millions_usd,19.0,$19.00M,5.63,462987.47,1.135,94.0,12.2,26.7,43.7,91.5,50.8,62.0,52.3,67.2,90.0,541600,numeric_parent,79.1,28.1,51.7,74.1,74.0,69.0,52.3,Management analysts (12.3%)|General and operations managers (7.8%)|Market research analysts and marketing specialists (5.2%),sell,"The structure supports go-to-market attention now, but the software wedge still looks less decisive than the very top build candidates.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | Workflow layer uses the closest published BLS parent industry because the matrix does not expose this NAICS line separately. | Workflow score is based on the visible BLS occupation mix and may miss some small or suppressed occupations."
116,621320,Offices of Optometrists,direct,621320,22781,148762,6922408000,46533.44,21438,153287,53930,1.5,3.9,receipts_millions_usd,9.0,$9.00M,6.53,303867.61,1.03,90.6,33.3,7.6,59.4,80.1,88.2,90.0,63.5,67.0,90.0,621320,exact_code,97.5,97.4,0.7,80.5,71.4,73.4,80.6,"Opticians, dispensing (21.2%)|Optometrists (16.8%)|Ophthalmic medical technicians (13.7%)",sell,"The structure supports go-to-market attention now, but the software wedge still looks less decisive than the very top build candidates.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence."
117,621910,Ambulance Services,direct,621910,5644,178532,8682617000,48633.39,5820,171100,59511,2.8,4.2,receipts_millions_usd,22.5,$22.50M,31.63,1538380.05,0.958,59.7,63.9,47.8,69.2,83.8,79.8,84.0,66.9,66.7,90.0,621910,exact_code,25.2,80.2,6.7,76.7,71.0,73.5,72.1,"Ambulance drivers and attendants, except emergency medical technicians (4.5%)|Public safety telecommunicators (3.3%)|Registered nurses (2.5%)",sell,"The structure supports go-to-market attention now, but the software wedge still looks less decisive than the very top build candidates.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | Workflow score is based on the visible BLS occupation mix and may miss some small or suppressed occupations."
118,722410,Drinking Places (Alcoholic Beverages),direct,722410,40258,401424,9961111000,24814.44,42624,414434,26570,-0.3,2.1,receipts_millions_usd,9.0,$9.00M,9.97,247431.84,1.032,87.8,45.0,6.6,36.0,88.2,80.2,92.0,62.0,66.9,90.0,722400,exact_title,97.6,94.6,1.4,54.5,63.8,63.8,62.8,"Bartenders (43.8%)|Waiters and waitresses (12.7%)|Cooks, restaurant (9.6%)",sell,"The structure supports go-to-market attention now, but the software wedge still looks less decisive than the very top build candidates.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence."
119,541511,Custom Computer Programming Services,direct,541511,68038,1044544,132731403000,127071.15,199379,1080579,178485,-2.6,8.8,receipts_millions_usd,34.0,$34.00M,15.35,1950842.22,1.034,81.5,27.7,60.6,43.4,98.2,40.4,30.0,51.9,66.9,90.0,541500,numeric_parent,81.0,11.7,71.9,72.8,70.8,70.2,49.4,Software developers (20.9%)|Computer user support specialists (6.3%)|Computer and information systems managers (5.3%),sell,"The structure supports go-to-market attention now, but the software wedge still looks less decisive than the very top build candidates.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | Workflow layer uses the closest published BLS parent industry because the matrix does not expose this NAICS line separately. | Workflow score is based on the visible BLS occupation mix and may miss some small or suppressed occupations."
120,551112,Offices of Other Holding Companies,direct,551112,6738,95001,11503188000,121084.91,15062,88827,176702,3.5,-1.7,receipts_millions_usd,45.5,$45.50M,14.1,1707211.04,0.935,71.3,25.5,70.1,57.4,80.1,55.5,42.0,54.9,66.8,90.0,551000,broad_parent,81.0,34.8,40.5,74.3,73.4,69.4,54.1,General and operations managers (4.3%)|Customer service representatives (4.1%)|Accountants and auditors (3.7%),sell,"The structure supports go-to-market attention now, but the software wedge still looks less decisive than the very top build candidates.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | Workflow layer uses a broader published BLS parent industry; treat occupation mix as directional rather than exact for this NAICS line. | Workflow score is based on the visible BLS occupation mix and may miss some small or suppressed occupations."
121,541110,Offices of Lawyers,direct,541110,166972,1078148,130681886000,121209.6,188520,1098918,136744,1.4,6.1,receipts_millions_usd,15.5,$15.50M,6.46,782657.49,1.019,94.6,10.4,27.0,68.5,98.3,47.1,54.0,53.3,66.8,90.0,541100,numeric_parent,95.9,26.9,69.9,77.7,72.9,66.4,57.4,Lawyers (37.2%)|Paralegals and legal assistants (23.5%)|Legal secretaries and administrative assistants (10.4%),sell,"The structure supports go-to-market attention now, but the software wedge still looks less decisive than the very top build candidates.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | Workflow layer uses the closest published BLS parent industry because the matrix does not expose this NAICS line separately."
122,812332,Industrial Launderers,direct,812332,1488,67652,3107366000,45931.62,1393,65592,63022,2.3,4.9,receipts_millions_usd,47.0,$47.00M,45.47,2088283.6,0.97,43.0,68.6,76.5,70.6,63.5,79.7,80.0,66.7,65.6,90.0,812300,numeric_parent,94.6,94.8,0.7,53.9,63.5,61.8,57.6,"Laundry and dry-cleaning workers (37.0%)|Pressers, textile, garment, and related materials (9.1%)|Driver/sales workers (8.1%)",sell,"The structure supports go-to-market attention now, but the software wedge still looks less decisive than the very top build candidates.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | Workflow layer uses the closest published BLS parent industry because the matrix does not expose this NAICS line separately."
123,622210,Psychiatric and Substance Abuse Hospitals,direct,622210,804,245003,15679390000,63996.73,1570,131735,63271,4.6,3.1,receipts_millions_usd,47.0,$47.00M,304.73,19501728.86,0.538,23.8,90.4,94.3,71.4,89.0,79.6,52.0,66.7,62.9,85.0,62220S,numeric_parent,85.7,81.4,14.6,74.2,73.9,73.9,84.0,Registered nurses (14.9%)|Psychiatric technicians (10.3%)|Psychiatric aides (7.9%),sell,"The structure supports go-to-market attention now, but the software wedge still looks less decisive than the very top build candidates.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | CBP 2022 employment and BLS 2024 private-sector employment differ materially; treat labor scale as directional. | Workflow layer uses the closest published BLS parent industry because the matrix does not expose this NAICS line separately."
124,531190,Lessors of Other Real Estate Property,direct,531190,8649,35800,2090054000,58381.4,10528,42573,67428,0.1,4.6,receipts_millions_usd,34.0,$34.00M,4.14,241652.68,1.189,87.5,22.7,39.1,52.3,49.1,74.2,69.0,58.4,66.7,90.0,531000,broad_parent,92.1,70.0,7.6,70.7,73.0,70.1,58.5,"Maintenance and repair workers, general (16.8%)|Property, real estate, and community association managers (13.1%)|Real estate sales agents (8.4%)",sell,"The structure supports go-to-market attention now, but the software wedge still looks less decisive than the very top build candidates.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | Workflow layer uses a broader published BLS parent industry; treat occupation mix as directional rather than exact for this NAICS line."
125,488190,Other Support Activities for Air Transportation,direct,488190,4096,91750,6490989000,70746.47,6885,141031,79682,2.8,3.9,receipts_millions_usd,40.0,$40.00M,22.4,1584714.11,1.537,59.5,49.1,63.9,67.4,75.0,81.2,60.0,63.0,66.6,85.0,488100,numeric_parent,83.9,89.7,5.0,68.3,68.2,74.0,59.8,"Aircraft mechanics and service technicians (16.3%)|Laborers and freight, stock, and material movers, hand (8.3%)|Passenger attendants (5.6%)",sell,"The structure supports go-to-market attention now, but the software wedge still looks less decisive than the very top build candidates.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | CBP 2022 employment and BLS 2024 private-sector employment differ materially; treat labor scale as directional. | Workflow layer uses the closest published BLS parent industry because the matrix does not expose this NAICS line separately. | Workflow score is based on the visible BLS occupation mix and may miss some small or suppressed occupations."
126,621310,Offices of Chiropractors,direct,621310,40179,149574,5847513000,39094.45,39387,146176,43166,-0.1,3.3,receipts_millions_usd,9.0,$9.00M,3.72,145536.55,0.977,96.1,29.7,4.2,42.7,78.5,87.7,82.0,60.9,66.6,90.0,621310,exact_code,97.0,97.9,0.9,79.2,71.3,69.7,81.0,Chiropractors (23.7%)|Medical assistants (18.1%)|Receptionists and information clerks (12.3%),sell,"The structure supports go-to-market attention now, but the software wedge still looks less decisive than the very top build candidates.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence."
127,221310,Water Supply and Irrigation Systems,direct,221310,4430,40710,3002986000,73765.32,5880,52424,79761,4.2,5.9,receipts_millions_usd,41.0,$41.00M,9.19,677874.94,1.288,73.7,28.0,55.0,83.9,56.4,81.0,50.0,60.6,66.6,90.0,221300,numeric_parent,91.6,86.2,4.0,72.5,71.5,75.5,54.2,"Water and wastewater treatment plant and system operators (25.6%)|General and operations managers (5.9%)|Maintenance and repair workers, general (5.2%)",sell,"The structure supports go-to-market attention now, but the software wedge still looks less decisive than the very top build candidates.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | Workflow layer uses the closest published BLS parent industry because the matrix does not expose this NAICS line separately."
128,812910,Pet Care (except Veterinary) Services,direct,812910,24267,158246,4296249000,27149.18,27118,191210,30696,4.0,3.3,receipts_millions_usd,9.0,$9.00M,6.52,177040.8,1.208,90.8,37.4,4.7,69.7,75.5,80.2,90.0,63.5,66.5,90.0,812900,numeric_parent,87.7,90.4,4.0,65.1,65.9,65.1,63.6,Animal caretakers (33.8%)|Parking attendants (16.7%)|General and operations managers (4.2%),sell,"The structure supports go-to-market attention now, but the software wedge still looks less decisive than the very top build candidates.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | Workflow layer uses the closest published BLS parent industry because the matrix does not expose this NAICS line separately."
129,813990,"Other Similar Organizations (except Business, Professional, Labor, and Political Organizations)",direct,813990,18431,133757,7320405000,54729.14,15364,108405,59681,1.6,6.0,receipts_millions_usd,13.5,$13.50M,7.26,397178.94,0.81,88.6,32.8,17.4,69.9,80.2,58.1,82.0,59.6,66.4,90.0,813900,numeric_parent,84.6,42.1,38.4,71.5,73.9,66.7,57.4,"Labor relations specialists (10.4%)|General and operations managers (9.1%)|Secretaries and administrative assistants, except legal, medical, and executive (5.1%)",sell,"The structure supports go-to-market attention now, but the software wedge still looks less decisive than the very top build candidates.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | Workflow layer uses the closest published BLS parent industry because the matrix does not expose this NAICS line separately. | Workflow score is based on the visible BLS occupation mix and may miss some small or suppressed occupations."
130,621330,Offices of Mental Health Practitioners (except Physicians),direct,621330,40885,218860,9479843000,43314.64,46404,249999,49639,20.6,0.7,receipts_millions_usd,9.0,$9.00M,5.35,231866.04,1.142,94.1,32.0,6.2,72.3,85.5,57.0,82.0,59.5,66.4,90.0,621330,exact_code,64.0,39.7,51.7,77.1,72.3,68.3,83.2,Clinical and counseling psychologists (11.4%)|Psychiatric technicians (8.7%)|Marriage and family therapists (8.5%),sell,"The structure supports go-to-market attention now, but the software wedge still looks less decisive than the very top build candidates.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | Workflow score is based on the visible BLS occupation mix and may miss some small or suppressed occupations."
131,481111,Scheduled Passenger Air Transportation,direct,481111,1787,432803,40063984000,92568.64,2066,493453,117924,2.7,10.8,employees,1500.0,"1,500 employees",242.2,22419688.86,1.14,30.8,72.5,96.8,81.5,94.4,84.6,44.0,66.2,65.5,90.0,481100,numeric_parent,95.4,97.1,1.9,65.5,65.4,79.6,65.2,"Flight attendants (25.1%)|Airline pilots, copilots, and flight engineers (17.2%)|Reservation and transportation ticket agents and travel clerks (15.5%)",sell,"The structure supports go-to-market attention now, but the software wedge still looks less decisive than the very top build candidates.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | Workflow layer uses the closest published BLS parent industry because the matrix does not expose this NAICS line separately."
132,524126,Direct Property and Casualty Insurance Carriers,direct,524126,12721,594916,61201017000,102873.38,12504,446369,119488,-0.8,6.7,employees,1500.0,"1,500 employees",46.77,4811022.48,0.75,62.2,51.6,89.5,52.2,96.6,50.6,2.0,55.2,66.2,90.0,524120,numeric_parent,92.7,32.3,56.2,76.0,68.1,68.2,50.6,"Claims adjusters, examiners, and investigators (18.3%)|Insurance underwriters (9.7%)|Insurance claims and policy processing clerks (8.3%)",sell,"The structure supports go-to-market attention now, but the software wedge still looks less decisive than the very top build candidates.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | Workflow layer uses the closest published BLS parent industry because the matrix does not expose this NAICS line separately."
133,311812,Commercial Bakeries,direct,311812,2745,113039,5788234000,51205.64,4260,148757,57308,4.5,3.2,employees,1000.0,"1,000 employees",41.18,2108646.27,1.316,49.5,69.3,60.6,71.5,76.2,80.4,73.0,66.1,64.3,85.0,311800,numeric_parent,95.9,94.6,1.6,57.4,62.7,67.6,56.4,Bakers (22.7%)|Food batchmakers (7.9%)|Packaging and filling machine operators and tenders (7.0%),sell,"The structure supports go-to-market attention now, but the software wedge still looks less decisive than the very top build candidates.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | CBP 2022 employment and BLS 2024 private-sector employment differ materially; treat labor scale as directional. | Workflow layer uses the closest published BLS parent industry because the matrix does not expose this NAICS line separately."
